,0
0,562076241
1,1068503088737198083
2,705435773
3,21900494
4,875355002256199682
5,243042179
6,1110400586761953280
7,123567401
8,623370781
9,56756588
10,228463269
11,3408257183
12,236532231
13,21269802
14,916608766564552705
15,768361159078674432
16,146985670
17,354219317
18,996483556468805632
19,832465987005870081
20,2891311557
21,1192592702690545664
22,477109359
23,3415789214
24,1215055023987732480
25,185898028
26,1203697934073815040
27,1134815199440134147
28,19333979
29,89571795
30,2773277275
31,2888401145
32,1229162687218712578
33,523118165
34,1528384320
35,1229317463990468608
36,6135632
37,47519785
38,1227833737238331393
39,6624542
40,943146882984968192
41,3815419000
42,46162396
43,1232369200775270400
44,1211014246072344576
45,4198133355
46,2843702190
47,452031864
48,831996613438631936
49,184558079
50,3504451401
51,16196529
52,1228753230085140480
53,422220971
54,44177169
55,1228254712979427328
56,1092206458354233344
57,417500295
58,1057349930136887302
59,253034334
60,372783805
61,37817078
62,573059299
63,1217784699726319617
64,2510753324
65,3900956356
66,1128067170343247872
67,360351817
68,2513323092
69,2228785597
70,1119208863574708224
71,1223290528432902144
72,707198865393504256
73,153201482
74,1223812596534431744
75,49716701
76,181076198
77,2444266658
78,134566718
79,737316466781917184
80,293343013
81,1208501939085950976
82,782151194
83,860158927
84,132458202
85,1222198237316120577
86,168618472
87,2535431516
88,17182073
89,1067193088010067969
90,863640177264152576
91,984758477703663616
92,1099374851201077249
93,3280909705
94,1221094058073952256
95,1324920330
96,1185197929818136576
97,1648364630
98,150884038
99,1141410142937911296
100,35854719
101,254076884
102,412993386
103,468832691
104,18646015
105,160644075
106,449050104
107,1716737126
108,394899684
109,1185101515503079424
110,1154483520275996673
111,1260252985
112,1175708016236253189
113,1637766373
114,112068033
115,254292937
116,57736300
117,49872327
118,1177261789450571776
119,303364644
120,143199746
121,64033385
122,70276577
123,27006105
124,98249317
125,841274392881565697
126,119282289
127,87222795
128,52750962
129,1158645829
130,1126417283268665344
131,1042440692788809733
132,100207518
133,4483934483
134,927870343380860930
135,69449508
136,996183229462925312
137,145593471
138,1164792652719484928
139,1304363335
140,1077200077645537280
141,3129383769
142,249355014
143,703092042239356928
144,1142365365487493121
145,1183012073275641856
146,302694285
147,134920472
148,1076803687127965697
149,249444111
150,1372101763
151,132328798
152,25577056
153,3091768280
154,1214292464934113280
155,1351777586
156,914960149000933376
157,1184633528081879040
158,538956593
159,61594344
160,39860414
161,2592029818
162,1145782286450864128
163,152542640
164,275315936
165,1607066041
166,1158790849154703360
167,1085664260099895297
168,53924199
169,1087613560052686849
170,1210241675823583232
171,999068699322667008
172,1573331353
173,235641118
174,1132205732890333185
175,715569789452681220
176,413320083
177,384383193
178,2232045488
179,34452740
180,84483407
181,1460427560
182,1935712615
183,1143572463084875782
184,1204609787662520325
185,1101313323000365056
186,49500020
187,324972258
188,1656294360
189,1201618635875332103
190,595997803
191,543430600
192,922657400968110080
193,101327874
194,1551005592
195,2160557462
196,890034828833325056
197,608242928
198,1189572571840372737
199,493021269
200,19618936
201,388298239
202,1179848070739181576
203,1203237139095474176
204,16846490
205,1042898681345789952
206,304005872
207,2733372715
208,85767080
209,965359104490393600
210,3220555392
211,1092603057433690112
212,1046081464272654336
213,211211017
214,576805689
215,122800543
216,2827740366
217,63870643
218,885089269076938753
219,1081849184469372928
220,1068861387894595589
221,1705051646
222,774003190647906306
223,59481307
224,571568280
225,853995919561424896
226,1115022597241098240
227,2196493646
228,3367421926
229,1022562661723267072
230,3334152339
231,28809863
232,3253996802
233,45729544
234,370507935
235,1133305402353807360
236,1019119482873278464
237,424599509
238,258435769
239,1106613065729093633
240,1056485016379842562
241,14912545
242,796055677655515136
243,382069391
244,1155767734917111809
245,862595247959834625
246,1152302515423199240
247,21208689
248,15015383
249,1197591219670568960
250,3317206719
251,60955156
252,1068416703036628993
253,1139942590541901824
254,905051762
255,1195095786587078656
256,1047619726363566080
257,44262499
258,70881892
259,1195808090895134722
260,1195799972031148038
261,1190468155258195969
262,1064901228587569153
263,243863258
264,90285325
265,269647467
266,1315356692
267,36114557
268,171984854
269,77630709
270,242770550
271,714921995356532740
272,49598586
273,712276276933865472
274,46271258
275,1092853065659621376
276,1921612597
277,95279401
278,3337605311
279,491588939
280,156315163
281,2148499644
282,111510834
283,1052160805565882369
284,2519606828
285,287864378
286,4118504919
287,55369291
288,2948740072
289,780982365468459008
290,1155824435116617728
291,61331756
292,4753211254
293,544428346
294,377267395
295,1190287168431951879
296,128034860
297,796726410
298,725280096743993344
299,1182975818110246912
300,38184928
301,109463738
302,901376775632146433
303,173194512
304,86825531
305,711943709533806592
306,884510332458237953
307,1123944437598629890
308,902645073309044736
309,955744914641481728
310,1014182546987474945
311,4714782915
312,1367715385
313,602895265
314,163075184
315,563740240
316,257218744
317,1109939927024877575
318,2653533340
319,13509002
320,204113189
321,1171818549347782656
322,1618256612
323,755828702
324,1916269056
325,821350837406629890
326,1003305624925556737
327,2313678420
328,60668414
329,1176870860440985600
330,1139508452424859651
331,429837359
332,152119231
333,315415512
334,12420802
335,1234135496
336,1183309544690241536
337,596533455
338,1184291965501874176
339,1156209049525993472
340,3727791075
341,1090078169841815552
342,1636357573
343,346861728
344,175933707
345,52490622
346,94798026
347,1182960638227898368
348,844460022071545856
349,4125209895
350,194138635
351,311436813
352,1115213449842364416
353,2890068777
354,428953042
355,1171220682627256320
356,596647875
357,1176797851164270593
358,1251248947
359,956407790708326400
360,255752584
361,2915007101
362,71162697
363,70640564
364,116296527
365,337258982
366,316636734
367,863360515
368,710499153688670208
369,1176856982487207936
370,381987422
371,32750777
372,3475119436
373,1173925823046389760
374,2609284916
375,1092421791778308096
376,63140119
377,54889936
378,2271704183
379,1153115366962421760
380,1169550702064132096
381,1027258566107910144
382,720954603081232384
383,1219460294
384,148467076
385,937055059241775105
386,1173410774326398976
387,822227118708826112
388,746609742
389,2277202108
390,277810661
391,81214553
392,861823569743007744
393,297679148
394,2361779232
395,1587285798
396,1172901827039375366
397,158756689
398,244939415
399,58824241
400,2883512260
401,1144570207299624960
402,232351877
403,942211636034723840
404,866909690881593345
405,284493911
406,1019230690796343298
407,1171181036115509248
408,948755540607471616
409,319672474
410,104357323
411,349487151
412,1159753749008650240
413,423034413
414,963357564
415,775835065095946240
416,1168451565985968129
417,118458554
418,296981347
419,2770777101
420,1161058073739444224
421,1083956847466340353
422,2285687482
423,1144930963111206912
424,1101127338404864000
425,15750866
426,2601285193
427,158166178
428,1162346534849187846
429,1166258372863303680
430,184193373
431,1065752552568963073
432,4647097959
433,1166278595188350978
434,1038136615422636032
435,244137374
436,123855010
437,1105187853754093569
438,1155137891472777218
439,990110516
440,3368914811
441,1129129762838974468
442,302032082
443,1092860507822977025
444,1164038931001876482
445,3383707859
446,793503060
447,806582716758130688
448,1163450302999224320
449,2946921058
450,1132485968097959936
451,1032326722845401088
452,469926868
453,898098671790804992
454,2952545089
455,1032183418803638272
