,id,screen_name,location,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,created_at,default_profile,default_profile_image
542,17449993,HeikoRauch,"Berlin, Germany",False,False,1022,1119,121,491,538,Mon Nov 17 20:42:47 +0000 2008,False,False
8135,140469965,tadwalkar,"Cupertino, CA",False,False,120,144,12,84,549,Wed May 05 15:31:45 +0000 2010,True,False
1416,817119614538809344,oldmanlopez,,False,False,36,695,1,602,612,Thu Jan 05 21:24:32 +0000 2017,True,False
10700,78621404,argami_,"Barcelona, Spain",False,False,205,473,23,157,1092,Wed Sep 30 14:58:08 +0000 2009,False,False
1546,608778831,itzelgarmed,,False,False,359,1658,2,551,1136,Fri Jun 15 02:23:17 +0000 2012,False,False
387,822227118708826112,RichardVevers,"Newport, RI",False,False,3586,371,54,429,492,Thu Jan 19 23:39:56 +0000 2017,False,False
7323,3040931685,SrJuanRamonRuiz,"Barcelona, Spain",False,False,417,1175,95,467,921,Mon Feb 16 16:11:30 +0000 2015,False,False
3706,633916246,Incontactos,Colombia,False,False,394,791,5,447,744,Thu Jul 12 17:46:27 +0000 2012,True,False
12001,374165170,Licysca,Madrid,False,False,190,351,17,469,471,Thu Sep 15 20:34:01 +0000 2011,False,False
4908,163627275,ManuVegaP,"Cuenca, Ecuador",False,False,1022,1814,33,5903,1348,Tue Jul 06 22:21:27 +0000 2010,False,False
6534,485647089,locreasono,,False,False,1194,1314,85,371,1825,Tue Feb 07 12:37:13 +0000 2012,False,False
3786,42731539,Edouard_Prevot,"Paris, France",False,False,262,581,31,425,620,Tue May 26 21:48:25 +0000 2009,False,False
7577,429728268,JonathanVerger_,"Barcelona, Spain",False,False,184,733,14,47,427,Tue Dec 06 09:33:18 +0000 2011,False,False
11850,111567936,silviaez,Barcelona,False,False,175,329,13,674,1217,Fri Feb 05 11:29:19 +0000 2010,False,False
10170,50972499,maelstraggiotti,"Geneva, Switzerland",False,False,588,2233,33,1406,1735,Fri Jun 26 08:10:57 +0000 2009,False,False
8068,2333304429,AntonellaTroci1,,False,False,54,400,0,934,409,Sun Feb 09 07:58:24 +0000 2014,True,False
4535,793010784234246144,MariaLopezM_S,"Madrid, Comunidad de Madrid",False,False,551,1110,30,1764,610,Mon Oct 31 08:44:39 +0000 2016,True,False
11474,2367277656,BenTarenne,Barcelona for two months,False,False,248,661,15,41,597,Sat Mar 01 16:16:54 +0000 2014,True,False
6742,3260491297,DevPicon,"Santiago, Chile",False,False,780,846,36,2306,1688,Mon Jun 29 22:15:28 +0000 2015,False,False
10657,36966744,lonngibass,Mexico,False,False,878,2193,10,52,1487,Fri May 01 15:31:15 +0000 2009,False,False
10933,2411176880,opaat_,London,False,False,70,344,0,1,1387,Tue Mar 25 15:25:10 +0000 2014,True,False
6408,2859386603,helenavicart,Barcelona 🌍 Planet Earth ☄️Infinite Universe🕳,False,False,80,292,3,2110,406,Mon Nov 03 19:36:40 +0000 2014,False,False
11482,102464853,andrespulgarine,Madrid Bogotá,False,False,963,2326,72,251,1459,Wed Jan 06 20:03:49 +0000 2010,False,False
191,543430600,EULearning,Europe,False,False,1337,2078,44,544,981,Mon Apr 02 13:56:01 +0000 2012,True,False
10484,19210798,smironescu,Barcelona,False,False,182,95,3,11,1317,Tue Jan 20 00:27:20 +0000 2009,False,False
8145,52668895,JuanmaNieto,Madrid,False,False,619,1368,45,967,597,Wed Jul 01 08:13:40 +0000 2009,False,False
12144,141000995,steinkelz,"Tenerife, Spain",False,False,409,131,74,631,1464,Thu May 06 23:01:09 +0000 2010,False,False
2840,78280683,JeanDanielG,"Paris, France",False,False,155,354,16,365,661,Tue Sep 29 11:25:26 +0000 2009,False,False
11197,80464248,carlos_yy,Bogota,False,False,335,635,5,1065,1338,Wed Oct 07 01:58:33 +0000 2009,False,False
4900,2914570350,pramodvidyarthi,"Bengaluru, India",False,False,384,1388,32,2555,715,Sun Nov 30 10:18:49 +0000 2014,True,False
11609,319766934,Bersatiles,"Madrid, Spain",False,False,31,119,1,25,1094,Sat Jun 18 18:09:08 +0000 2011,False,False
7606,1026796884,MoonsystemsCol,Bogotá - Colombia,False,False,411,2249,13,45,826,Fri Dec 21 17:27:53 +0000 2012,False,False
484,1020571628948910081,Crowcatcher2,"Budapest, Hungary",False,False,216,1818,1,957,425,Sat Jul 21 07:30:12 +0000 2018,True,False
4311,109897221,AztonLu,Cusco,False,False,168,507,1,135,609,Sat Jan 30 16:38:52 +0000 2010,False,False
11145,2493734748,citydeskmiami,350 S Miami Ave Miami FL,False,False,632,943,25,85,465,Wed May 14 04:05:49 +0000 2014,False,False
7126,2244430393,changeagain_me,"Tallinn, Estonia",False,False,1058,2665,55,59,931,Fri Dec 13 20:06:07 +0000 2013,False,False
7923,3128571328,Pozzoli_Radice,Villa Guardia (CO) - Italia,False,False,363,644,8,725,692,Mon Mar 30 08:48:13 +0000 2015,True,False
5032,3833851527,skybetsheffield,"Sheffield, England",False,False,1028,1764,82,1028,1460,Thu Oct 01 13:40:38 +0000 2015,True,False
1640,931077211268009984,blablamartina,"Madrid, Comunidad de Madrid",False,False,752,638,37,417,1177,Thu Nov 16 08:31:20 +0000 2017,False,False
8737,620585985,Counselor_Amy,"Stillwater, OK",False,False,217,1242,10,612,1746,Thu Jun 28 01:14:30 +0000 2012,True,False
2090,968130940479340545,monicasanovas06,"Barcelona, Spain",False,False,19,80,0,18,1599,Mon Feb 26 14:29:38 +0000 2018,True,False
1972,380944891,jdetorov,"Valencia, España",False,False,993,1248,14,4167,1461,Tue Sep 27 14:01:44 +0000 2011,True,False
11289,15658248,dvillalobos,Madrid,False,False,226,507,18,560,650,Wed Jul 30 09:18:37 +0000 2008,False,False
7971,3233300341,IEEEMX,"Monterrey, Nuevo León",False,False,1028,3784,20,248,898,Tue Jun 02 06:36:09 +0000 2015,False,False
6378,3069497087,PiervincenzoR,Head of Acquiring & Loyalty,False,False,418,1238,51,2281,1821,Wed Mar 04 09:03:06 +0000 2015,False,False
356,596647875,SaraadelValle,,False,False,72,67,0,34,432,Fri Jun 01 15:42:22 +0000 2012,False,False
9897,206639115,Monarksingh,"Pune, India",False,False,248,2482,7,239,625,Sat Oct 23 11:42:43 +0000 2010,False,False
7823,2830461762,Code_TN,"912 S Gay St, Knoxville, TN 37902",False,False,364,529,12,483,396,Wed Sep 24 21:04:30 +0000 2014,False,False
11651,273363856,MeryColh,Madrid,False,False,243,712,11,284,884,Mon Mar 28 10:34:15 +0000 2011,False,False
9666,263578719,fedrom_fedrom,Madrid,False,False,173,38,2,26,978,Thu Mar 10 09:31:30 +0000 2011,False,False
7453,3891252635,AthenianVenture,"Fort Lauderdale, FL",False,False,423,916,86,804,1206,Wed Oct 07 15:46:58 +0000 2015,True,False
1605,53692693,arturocuenca,DF,False,False,550,1353,22,275,1135,Sat Jul 04 15:35:39 +0000 2009,False,False
6361,75492734,aralroca,Barcelona,False,False,811,1056,74,4594,1542,Sat Sep 19 06:41:34 +0000 2009,False,False
6555,242451023,esbanarango,,False,False,536,2593,33,9316,1042,Mon Jan 24 20:30:42 +0000 2011,False,False
5548,754296646607966208,master21academy,"Zürich, Schweiz",False,False,724,737,18,608,727,Sat Jul 16 12:48:29 +0000 2016,False,False
8914,52050852,ultrawombat,"Laurel, MD",False,False,305,1309,10,196,690,Mon Jun 29 13:11:38 +0000 2009,False,False
5283,143953787,vaquerocarlos,Valladolid,False,False,112,182,13,338,803,Fri May 14 22:10:32 +0000 2010,True,False
4331,183833750,alexbrand,"Miami, FL",False,False,530,533,23,1406,565,Sat Aug 28 00:45:14 +0000 2010,False,False
11238,1683402841,veroaruquipa,"Eindhoven, Nederland",False,False,590,854,18,484,818,Mon Aug 19 14:16:21 +0000 2013,False,False
7792,15390623,argenisleon,Planeta tierra,False,False,1317,4791,36,2792,1759,Fri Jul 11 12:22:04 +0000 2008,False,False
3838,3345211073,MarcoRubioPerea,"Madrid, Comunidad de Madrid",False,False,146,446,7,260,469,Thu Jun 25 07:23:47 +0000 2015,True,False
5596,4364423003,dayskapp,"Barcelona, Spain",False,False,329,629,46,192,440,Thu Dec 03 19:37:36 +0000 2015,False,False
9418,40628251,deYoungster,"Vancouver, Canada",False,False,595,685,29,146,1629,Sun May 17 08:12:06 +0000 2009,False,False
10868,331780040,franklinbuitron,,False,False,408,1871,19,1266,1208,Fri Jul 08 18:11:37 +0000 2011,True,False
2596,1541436096,BigData_WG,Mexique,False,False,515,208,55,8,1371,Sun Jun 23 17:29:11 +0000 2013,True,False
5473,272048427,hsiinetwork,"San Francisco, Boston, Austin ",False,False,430,1073,33,1388,577,Fri Mar 25 18:21:18 +0000 2011,True,False
7205,194321949,wainwrightelem,Houston ,False,False,756,177,9,294,640,Thu Sep 23 21:19:46 +0000 2010,False,False
