,id,screen_name,location,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,created_at,default_profile,default_profile_image
0,562076241,AlbaNebotLopeez,Barcelona.,False,False,133,167,1,374,382,Tue Apr 24 12:48:02 +0000 2012,False,False
1,1068503088737198083,RafaelF03113877,"London, England",False,False,94,90,1,170,224,Fri Nov 30 13:52:42 +0000 2018,False,False
2,705435773,berelingo,,False,False,256,122,3,18456,9590,Tue Oct 08 19:50:24 +0000 2013,False,False
3,21900494,tombentler,,False,False,15,114,0,24,7,Wed Feb 25 18:42:56 +0000 2009,True,False
4,875355002256199682,YeahCool30,,False,False,9,105,0,258,17,Thu Jun 15 14:11:10 +0000 2017,True,False
5,243042179,Eri_Catalan,Madrid,True,False,120,772,3,869,224,Wed Jan 26 04:45:26 +0000 2011,False,False
6,1110400586761953280,NguyenT61588038,"Ho Chi Minh City, Viet Nam",False,False,1,52,0,12,2,Tue Mar 26 04:38:24 +0000 2019,True,False
7,123567401,edgarmartin1,Mexico City,False,False,1233,2234,17,28328,9920,Tue Mar 16 13:59:33 +0000 2010,False,False
8,623370781,estebanquirogas,México,False,False,615,269,0,5926,822,Sun Jul 01 03:23:53 +0000 2012,False,False
9,56756588,kfcarlos,"Monterrey, Nuevo León",False,False,418,2274,14,344,8663,Tue Jul 14 17:29:05 +0000 2009,False,False
10,228463269,dzubilla,México Distrito Federal,False,False,297,683,4,1191,2174,Sun Dec 19 20:04:11 +0000 2010,True,False
11,3408257183,realMariusUrsu,,False,False,79,636,1,578,23,Sat Aug 08 06:26:59 +0000 2015,True,False
12,236532231,Lowenmensch22,"Austin, TX",False,False,206,2103,0,8591,1872,Mon Jan 10 20:16:50 +0000 2011,True,False
13,21269802,_jrdmn,,False,False,510,2747,7,4180,13348,Thu Feb 19 02:55:30 +0000 2009,False,False
14,916608766564552705,Capita3nciam,,False,False,31,176,0,1232,624,Sat Oct 07 10:18:54 +0000 2017,True,False
