,0
0,448810512
1,701174229140639744
2,1143603512124878848
3,1291226196
4,1237638084281409536
5,1214911291258748928
6,949677827087093761
7,1237444565793214464
8,1177483342381383680
9,1864720844
10,82613995
11,1234521096675889154
12,1237475183423864838
13,3689193797
14,1233406977121767426
15,1217163398980481025
16,1069477917023981569
17,1201442338658238464
18,1141012778699726849
19,1187192742176350208
20,1235378321543872521
21,1237127439907729413
22,1237097858660171776
23,1236623020325814273
24,1223592320345559040
25,1237063833660817408
26,1237043683280781314
27,1187920025358872577
28,1224502903466946560
29,1234912489697095689
30,1231821331945185280
31,1236902114510635008
32,1199262422143389696
33,1235400209384869888
34,877850795000995841
35,1236546354199101440
36,1200415762491404294
37,1184596611286130688
38,1236694087786528768
39,25487940
40,13936852
41,1182405221332537344
42,4853081356
43,1236731572713336833
44,1236705144903012352
45,1233029432048263168
46,1236618664218001411
47,1175392196972949505
48,1174934984269787136
49,1236060031226916866
50,897528818
51,1223156999300370437
52,1236620949673345024
53,3190348363
54,1236414702906982407
55,1212663493008097280
56,855136752180371456
57,1234571837784371201
58,1230603389433733120
59,1208709919890923522
60,1235725966091132930
61,1236367973843116032
62,1236219471490166784
63,1229930263880314880
64,1236252716160204801
65,889021906602655744
66,1233122333281443840
67,1236116396272021504
68,1232258234544742401
69,1236082689100349442
70,1220762960244674561
71,1235676951240732678
72,4699045872
73,1197212763069788160
74,829818619072741377
75,1231609421349912576
76,1235135899026980864
77,1214124241295032324
78,1215350913692504064
79,1217463758253182977
80,1217812949131284480
81,1235796099236909056
82,1231150987194380288
83,1231326952230989829
84,1235701606399782920
85,1232308368234209281
86,1136200643008520193
87,1232146762355351552
88,1058703594315227136
89,1235587567569055747
90,1235126505254068224
91,1234852506175406081
92,1226982564461764608
93,1235267470614761472
94,1172210586966548481
95,1235489581346234370
96,1235503188859588608
97,1235449598086459392
98,1235473439361818624
99,1175368886516142081
100,1232755969928712192
101,905355641715396609
102,1235208443314741250
103,22913957
104,1234860999720738822
105,1227202575335927808
106,764058840115638276
107,1234944966406889473
108,1235275001806409733
109,1199307521841881088
110,1235240249242112000
111,1234921889778348032
112,1235209423368355840
113,969679551474356225
114,1235191848492314627
115,939077192247418880
116,1232872718007259136
117,1235183029267681280
118,746438793939525632
119,868279272
120,893230895964065792
121,2206588210
122,16592219
123,1540412263
124,1059140378501107712
125,928750115296370690
126,1151421823936061440
127,1229154371059011587
128,1218757043135373317
129,1235056410704125952
130,1235040965250998272
131,877054266304741377
132,3138788677
133,1221402612618031104
134,1171035806422708226
135,1234285180011130881
136,1234977745547005952
137,1234975514407972864
138,1147419383079284737
139,1132223721127718912
140,1222499228821475330
141,970253509965819905
142,1224635143001821184
143,1230458071815774208
144,1233666642174976000
145,889228362635456514
146,390225235
147,609126695
148,733699124386795520
149,1203704962393542658
150,1231012445180788738
151,1205518347737214977
152,1167132201390985216
153,1092490927334137857
154,1171422994620534786
155,1231185319464251393
156,1230788175355883520
157,840271277629812736
158,1220133178716889088
159,287324395
160,1130490060770619392
161,1234862715690196992
162,1234857498022162438
163,1233801818557173760
164,1108471788663726082
165,1234822066433613825
166,1209080766631698433
167,1191618057988390913
168,1102531019767463936
169,1234601787174346752
170,138062840
171,1173228797027598336
172,3376650965
173,1233395862144942085
174,1234557739050897410
175,1229548760642019328
176,1190637064036982791
177,1147792379610402816
178,1234104432415002626
179,1233883709293633537
180,1205929547990020096
181,1224483187906220032
182,147980250
183,805200426618486784
184,990882642806628352
185,951465172924805121
186,1234432178584510464
187,1199416622861168640
188,1228669578533724160
189,1234047685155590144
190,882752898362462208
191,1106311439889907713
192,1225128429793828867
193,1232434299359703041
194,1234254612217171969
195,1183414051512209408
196,720101476371181569
197,1234242438421766154
198,1174097320062984192
199,1234227021196275713
200,1234159026302324737
201,3370133309
